Year,Geography,Geography Type,Indicator,Value,Value Type
2013,Blount,County,Oxycodone,44317,Count
2013,Blount,County,Tramadol,17217,Count
2013,Blount,County,All Benzodiazepines,14657,Patients
2013,Blount,County,Alprazolam,5982,Patients
2013,Blount,County,Clonazepam,2851,Patients
2013,Blount,County,Diazepam,2978,Patients
2013,Blount,County,Lorazepam,3338,Patients
2013,Blount,County,All Opioids for Pain,38003,Patients
2013,Blount,County,Hydrocodone,26310,Patients
2013,Blount,County,Oxycodone,11415,Patients
2013,Blount,County,Tramadol,6209,Patients
2013,Blount,County,All Benzodiazepines,618,Rate
2013,Blount,County,Alprazolam,246,Rate
2013,Blount,County,Clonazepam,130,Rate
2013,Blount,County,Diazepam,90,Rate
2013,Blount,County,Lorazepam,105,Rate
2013,Blount,County,All Opioids for Pain,1371,Rate
2013,Blount,County,Hydrocodone,623,Rate
2013,Blount,County,Oxycodone,354,Rate
2013,Blount,County,Tramadol,138,Rate
2013,Bradley,County,All Benzodiazepines,75123,Count
2013,Bradley,County,Alprazolam,39954,Count
2013,Bradley,County,Clonazepam,11098,Count
2013,Bradley,County,Diazepam,7996,Count
2013,Bradley,County,Lorazepam,11349,Count
2013,Bradley,County,All Opioids for Pain,138307,Count
2013,Bradley,County,Hydrocodone,79119,Count
2013,Bradley,County,Oxycodone,24897,Count
2013,Bradley,County,Tramadol,15079,Count
2013,Bradley,County,All Benzodiazepines,13077,Patients
2013,Bradley,County,Alprazolam,6458,Patients
2013,Bradley,County,Clonazepam,2104,Patients
2013,Bradley,County,Diazepam,2327,Patients
2013,Bradley,County,Lorazepam,2757,Patients
2013,Bradley,County,All Opioids for Pain,30635,Patients
2013,Bradley,County,Hydrocodone,22380,Patients
2013,Bradley,County,Oxycodone,7101,Patients
2013,Bradley,County,Tramadol,6119,Patients
2013,Bradley,County,All Benzodiazepines,738,Rate
2013,Bradley,County,Alprazolam,392,Rate
2013,Bradley,County,Clonazepam,109,Rate
2013,Bradley,County,Diazepam,79,Rate
2013,Bradley,County,Lorazepam,111,Rate
2013,Bradley,County,All Opioids for Pain,1358,Rate
2013,Bradley,County,Hydrocodone,777,Rate
2013,Bradley,County,Oxycodone,244,Rate
2013,Bradley,County,Tramadol,148,Rate
2013,Campbell,County,All Benzodiazepines,38729,Count
2013,Campbell,County,Alprazolam,14944,Count
2013,Campbell,County,Clonazepam,7524,Count
2013,Campbell,County,Diazepam,5313,Count
2013,Campbell,County,Lorazepam,9268,Count
2013,Campbell,County,All Opioids for Pain,83004,Count
2013,Campbell,County,Hydrocodone,34550,Count
2013,Campbell,County,Oxycodone,27025,Count
2013,Campbell,County,Tramadol,5134,Count
2013,Campbell,County,All Benzodiazepines,6308,Patients
2013,Campbell,County,Alprazolam,2457,Patients
2013,Campbell,County,Clonazepam,1252,Patients
2013,Campbell,County,Diazepam,1160,Patients
2013,Campbell,County,Lorazepam,1836,Patients
2013,Campbell,County,All Opioids for Pain,13905,Patients
2013,Campbell,County,Hydrocodone,9375,Patients
2013,Campbell,County,Oxycodone,4931,Patients
2013,Campbell,County,Tramadol,1919,Patients
2013,Campbell,County,All Benzodiazepines,962,Rate
2013,Campbell,County,Alprazolam,371,Rate
2013,Campbell,County,Clonazepam,187,Rate
2013,Campbell,County,Diazepam,132,Rate
2013,Campbell,County,Lorazepam,230,Rate
2013,Campbell,County,All Opioids for Pain,2063,Rate
2013,Campbell,County,Hydrocodone,859,Rate
2013,Campbell,County,Oxycodone,672,Rate
2013,Campbell,County,Tramadol,128,Rate
2013,Cannon,County,All Benzodiazepines,12373,Count
2013,Cannon,County,Alprazolam,6417,Count
2013,Cannon,County,Clonazepam,1488,Count
2013,Cannon,County,Diazepam,1949,Count
